,level_0,index,date,open,high,low,close,volume,ema10,ema20,ema50,ema100,ema200,vc,vwap21,vwap50,vwap100,vwap200,upper,lower,signal
68,68,68,2023-05-03 20:00:00,28322.97000000,28577.21000000,28285.19000000,28518.72,1994.26637,28449.289167992807,28460.862714214723,28480.19840390529,28629.328126919037,28852.98481299424,56873924.211446404,28459.5482733379,28339.2940737463,28563.9199746232,28576.5689445627,29070.890461287017,28417.709822921344,
69,69,69,2023-05-03 21:00:00,28518.71000000,29057.62000000,28517.71000000,28923.52,5633.43575,28535.51295563048,28504.92531286094,28497.58356453646,28635.153708564205,28853.686655651018,162938791.58383998,28504.7320206743,28395.7970962964,28563.9199746232,28576.5689445627,29099.91746272578,28446.73682436011,
70,70,70,2023-05-03 22:00:00,28923.53000000,29266.66000000,28923.52000000,29107.13,4541.42253,28639.443327334026,28562.27814020752,28521.487346319343,28644.499773741154,28856.208479972902,132187775.9656389,28550.1892587012,28442.8800361632,28563.9199746232,28576.5689445627,29129.029615021314,28475.84897665564,
71,71,71,2023-05-03 23:00:00,29107.13000000,29143.47000000,28941.44000000,29026.16,2182.21699,28709.755449636927,28606.45736494966,28541.27843077741,28652.057401983904,28857.89953987367,63341379.506458394,28568.853654341,28461.4439836445,28563.9199746232,28576.5689445627,29157.575123612347,28504.394485246674,
72,72,72,2023-05-04 00:00:00,29026.16000000,29104.27000000,28950.98000000,29043.94,1804.91666,28770.516276975664,28648.122377811596,28560.990649178297,28659.81745342977,28859.750688730648,52421891.1780404,28583.809254322,28477.5917996883,28563.9199746232,28576.5689445627,29184.921763993432,28531.74112562776,
73,73,73,2023-05-04 01:00:00,29043.93000000,29078.75000000,28975.00000000,29070.67,1325.13559,28825.089681161906,28688.365008496206,28580.978074700717,28667.95314742126,28861.84938834527,38522579.4421453,28595.5119498782,28489.4376692039,28563.9199746232,28576.5689445627,29210.48778731157,28557.307148945896,
74,74,74,2023-05-04 02:00:00,29070.67000000,29195.94000000,28991.35000000,29060.61,1746.59499,28867.911557314284,28723.81691244895,28599.787169810494,28675.72853064064,28863.827105874174,50757115.832343906,28610.376389092,28504.638858373,28563.9199746232,28576.5689445627,29233.7698101957,28580.589171830026,
75,75,75,2023-05-04 03:00:00,29060.60000000,29100.00000000,29016.78000000,29096.86,1146.74487,28909.538546893506,28759.34482554905,28619.28022197479,28684.06776765766,28866.145841139107,33366674.938108202,28619.9235799932,28516.4872689172,28563.9199746232,28576.5689445627,29254.36608925649,28601.185450890818,
76,76,76,2023-05-04 04:00:00,29096.85000000,29130.00000000,29064.31000000,29102.33,1170.15303,28944.591538367415,28792.010080258664,28638.2233505248,28692.350188100085,28868.495932272053,34054179.6295599,28628.4741972119,28526.9324570089,28563.9199746232,28576.5689445627,29271.993966215734,28618.81332785006,
77,77,77,2023-05-04 05:00:00,29102.32000000,29215.90000000,29057.82000000,29203.9,1750.90189,28991.73853139152,28831.237691662598,28660.406748543435,28702.479887345628,28871.833286179794,51133163.70537101,28643.2177267893,28540.6454128118,28563.9199746232,28576.5689445627,29286.500704337337,28633.320065971664,
78,78,78,2023-05-04 06:00:00,29203.90000000,29237.73000000,29090.56000000,29166.72,1440.65079,29023.553343865788,28863.188387694732,28680.262170169182,28711.672760863534,28874.76748233721,42019058.2097088,28655.2344098325,28552.653463022,28563.9199746232,28576.5689445627,29297.867376579197,28644.686738213524,
79,79,79,2023-05-04 07:00:00,29166.72000000,29177.46000000,29038.31000000,29058.19,1492.85404,29029.850917708372,28881.759969819042,28695.082869378235,28718.534488371188,28876.59258201545,43379636.33658759,28667.2104327113,28563.631566175,28563.9199746232,28576.5689445627,29306.20587664585,28653.025238280177,
80,80,80,2023-05-04 08:00:00,29058.20000000,29110.45000000,28982.58000000,29089.26,1138.34053,29040.652569034122,28901.52187745532,28710.540796069286,28725.87558761136,28878.708675726743,33113483.645707797,28678.2961817772,28572.5480696892,28563.9199746232,28576.5689445627,29311.74948476987,28658.568846404196,
81,81,81,2023-05-04 09:00:00,29089.26000000,29109.65000000,29035.26000000,29088.97,936.80424,29049.437556482462,28919.374079602432,28725.38115700775,28733.06557597549,28880.800828207073,27250670.433232803,28717.2435105066,28582.9890462158,28563.9199746232,28576.5689445627,29314.83772185674,28661.657083491067,
82,82,82,2023-05-04 10:00:00,29088.98000000,29379.83000000,29065.23000000,29243.62,3163.68955,29084.743455303833,28950.254643449818,28745.7042488898,28743.175564570036,28884.41096921994,92517734.998171,28772.729956473,28606.8669865422,28563.9199746232,28576.5689445627,29315.896469257772,28662.7158308921,
83,83,83,2023-05-04 11:00:00,29243.62000000,29264.48000000,29111.06000000,29154.66,1563.3488,29097.455554339496,28969.72182026412,28761.741729325495,28751.323771212214,28887.10001430233,45578902.725408,28813.443260844,28621.4601721061,28563.9199746232,28576.5689445627,29315.414522310977,28662.233883945304,
84,84,84,2023-05-04 12:00:00,29154.65000000,29232.87000000,28982.91000000,29054.84,2830.09226,29089.707271732314,28977.8283135723,28773.235779155868,28757.333993564447,28888.769068886388,82227877.7995384,28842.8672150655,28636.4117552575,28563.9199746232,28576.5689445627,29313.917889267286,28660.737250901613,
85,85,85,2023-05-04 13:00:00,29054.85000000,29086.33000000,28663.64000000,28761.51,6069.57723,29030.035040508257,28957.226569422557,28772.775944679168,28757.416686761193,28887.502809494486,174570206.19641727,28849.3118953066,28646.8792418474,28563.9199746232,28576.5689445627,29311.94324466209,28658.762606296415,
86,86,86,2023-05-04 14:00:00,28761.52000000,28938.54000000,28736.33000000,28783.65,3061.58107,28985.237760415846,28940.69546757279,28773.20237822116,28757.936158310476,28886.469448205986,88123477.96550551,28868.1519037674,28658.3812504542,28563.9199746232,28576.5689445627,29310.011992945438,28656.831354579765,
87,87,87,2023-05-04 15:00:00,28783.66000000,28949.66000000,28774.58000000,28866.19,1960.27071,28963.592713067508,28933.599708756334,28776.848951624255,28760.07979873997,28886.2676626517,56585546.7662949,28940.9128734455,28671.3482714398,28563.9199746232,28576.5689445627,29308.606383824004,28655.42574545833,
88,88,88,2023-05-04 16:00:00,28866.20000000,28972.92000000,28795.01000000,28924.82,1891.09912,28956.543128873414,28932.76354601763,28782.65173783507,28763.34198094314,28886.65126799845,54699701.6481584,28983.3134273697,28697.3556921108,28563.9199746232,28576.5689445627,29308.149031578418,28654.968393212745,
89,89,89,2023-05-04 17:00:00,28924.83000000,28957.64000000,28792.00000000,28842.29,1362.28084,28935.76983271461,28924.14701782548,28784.99049321409,28764.905308053178,28886.209862346725,39291299.0487236,28998.5463120596,28708.5470567905,28563.9199746232,28576.5689445627,29308.987013702987,28655.806375337314,
90,90,90,2023-05-04 18:00:00,28842.29000000,28855.42000000,28673.59000000,28799.23,2039.99627,28910.94440858468,28912.250158984956,28785.54890524491,28765.585004923414,28885.344391079594,58750321.7788721,28998.9060577597,28715.4752204523,28563.9199746232,28576.5689445627,29311.38145237155,28658.200814005875,
91,91,91,2023-05-04 19:00:00,28799.23000000,28897.22000000,28723.08000000,28895.12,1511.57239,28908.067243387464,28910.618715272103,28789.84581092158,28768.150054330872,28885.4416608201,43677065.5977368,28983.3160323645,28719.7035314387,28563.9199746232,28576.5689445627,29315.50311848864,28662.322480122966,
